timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;270.00;test0;-E2_0;5.10;0.00;8.91;test;144.90;1.60
1.00;90.00;f1.0;E0_0;5.10;0.00;7.12;CarA;-44.90;-1.60
1.00;270.00;test0;-E2_0;14.45;0.00;9.35;test;135.55;1.60
2.00;90.00;f1.0;E0_0;14.89;0.00;9.79;CarA;-35.11;-1.60
2.00;90.00;f1.1;E0_0;5.10;0.00;4.91;CarA;-44.90;-1.60
2.00;270.00;test0;-E2_0;24.45;0.00;10.00;test;125.55;1.60
3.00;90.00;f1.0;E0_0;23.48;0.00;8.58;CarA;-26.52;-1.60
3.00;90.00;f1.1;E0_0;12.89;0.00;7.79;CarA;-37.11;-1.60
3.00;90.00;f1.2;E0_0;5.10;0.00;0.44;CarC;-44.90;-1.60
3.00;270.00;test0;-E2_0;34.32;0.00;9.87;test;115.68;1.60
4.00;90.00;f1.0;E0_0;32.73;0.00;9.26;CarA;-17.27;-1.60
4.00;90.00;f1.1;E0_0;19.66;0.00;6.77;CarA;-30.34;-1.60
4.00;90.00;f1.2;E0_0;8.13;0.00;3.03;CarC;-41.87;-1.60
4.00;270.00;f2.0;-E2_0;5.10;0.00;5.45;CarA;144.90;1.60
4.00;270.00;test0;-E2_0;44.27;0.00;9.95;test;105.73;1.60
5.00;90.00;f1.0;E0_0;40.86;0.00;8.13;CarA;-9.14;-1.60
5.00;90.00;f1.1;E0_0;28.02;0.00;8.36;CarA;-21.98;-1.60
5.00;90.00;f1.2;E0_0;13.62;0.00;5.50;CarC;-36.38;-1.60
5.00;90.00;f1.3;E0_0;5.10;0.00;2.52;CarB;-44.90;-1.60
5.00;270.00;f2.0;-E2_0;14.76;0.00;9.66;CarA;135.24;1.60
5.00;270.00;test0;-link_0;3.99;0.00;9.83;test;96.01;1.60
6.00;90.00;f1.0;link_0;0.75;0.00;9.98;CarA;0.75;-1.60
6.00;90.00;f1.1;E0_0;33.40;0.00;5.39;CarA;-16.60;-1.60
6.00;90.00;f1.2;E0_0;20.59;0.00;6.97;CarC;-29.41;-1.60
6.00;90.00;f1.3;E0_0;6.78;0.00;1.68;CarB;-43.22;-1.60
6.00;270.00;f2.0;-E2_0;22.59;0.00;7.84;CarA;127.41;1.60
6.00;270.00;test0;-link_0;13.81;0.00;9.82;test;86.19;1.60
7.00;90.00;f1.0;link_0;10.57;0.00;9.82;CarA;10.57;-1.60
7.00;90.00;f1.1;E0_0;41.89;0.00;8.49;CarA;-8.11;-1.60
7.00;90.00;f1.2;E0_0;25.31;0.00;4.71;CarC;-24.69;-1.60
7.00;90.00;f1.3;E0_0;12.37;0.00;5.59;CarB;-37.63;-1.60
7.00;90.00;f1.4;E0_0;5.10;0.00;2.37;CarA;-44.90;-1.60
7.00;270.00;f2.0;-E2_0;30.20;0.00;7.61;CarA;119.80;1.60
7.00;270.00;f2.1;-E2_0;5.10;0.00;5.66;CarD;144.90;1.60
7.00;270.00;test0;-link_0;23.58;0.00;9.76;test;76.42;1.60
8.00;90.00;f1.0;link_0;19.70;0.00;9.14;CarA;19.70;-1.60
8.00;90.00;f1.1;link_0;1.13;0.00;9.34;CarA;1.13;-1.60
8.00;90.00;f1.2;E0_0;32.24;0.00;6.93;CarC;-17.76;-1.60
8.00;90.00;f1.3;E0_0;17.17;0.00;4.80;CarB;-32.83;-1.60
8.00;90.00;f1.4;E0_0;7.20;0.00;2.10;CarA;-42.80;-1.60
8.00;270.00;f2.0;-E2_0;39.00;0.00;8.81;CarA;111.00;1.60
8.00;270.00;f2.1;-E2_0;11.80;0.00;6.70;CarD;138.20;1.60
8.00;270.00;f2.2;-E2_0;5.10;0.00;0.90;CarA;144.90;1.60
8.00;270.00;test0;-link_0;33.50;0.00;9.92;test;66.50;1.60
9.00;90.00;f1.0;link_0;27.35;0.00;7.65;CarA;27.35;-1.60
9.00;90.00;f1.1;link_0;10.58;0.00;9.46;CarA;10.58;-1.60
9.00;90.00;f1.2;E0_0;41.21;0.00;8.98;CarC;-8.79;-1.60
9.00;90.00;f1.3;E0_0;23.63;0.00;6.46;CarB;-26.37;-1.60
9.00;90.00;f1.4;E0_0;9.91;0.00;2.71;CarA;-40.09;-1.60
9.00;270.00;f2.0;-E2_0;48.68;0.00;9.67;CarA;101.32;1.60
9.00;270.00;f2.1;-E2_0;20.01;0.00;8.21;CarD;129.99;1.60
9.00;270.00;f2.2;-E2_0;5.78;0.00;0.68;CarA;144.22;1.60
9.00;270.00;test0;-link_0;43.47;0.00;9.97;test;56.53;1.60
10.00;90.00;f1.0;link_0;35.32;0.00;7.97;CarA;35.32;-1.60
10.00;90.00;f1.1;link_0;17.56;0.00;6.98;CarA;17.56;-1.60
10.00;90.00;f1.2;link_0;1.09;0.00;9.98;CarC;1.09;-1.60
10.00;90.00;f1.3;E0_0;31.24;0.00;7.61;CarB;-18.76;-1.60
10.00;90.00;f1.4;E0_0;16.01;0.00;6.10;CarA;-33.99;-1.60
10.00;90.00;f1.5;E0_0;5.10;0.00;5.26;CarC;-44.90;-1.60
10.00;270.00;f2.0;-link_0;6.97;0.00;8.40;CarA;93.03;1.60
10.00;270.00;f2.1;-E2_0;29.30;0.00;9.29;CarD;120.70;1.60
10.00;270.00;f2.2;-E2_0;11.38;0.00;5.60;CarA;138.62;1.60
10.00;270.00;test0;-link_0;53.19;0.00;9.72;test;46.81;1.60
